Message,Category,cleaned_message
You're selected! Redeem your reward at https://login-now-security.xyz,Spam,youre selected redeem your reward at httpsloginnowsecurityxyz
Your package with tracking ID 326585 has been shipped.,Transactional,your package with tracking id 326585 has been shipped
Visit our store: https://secure.bankportal.in/login for more details,Promotional,visit our store httpssecurebankportalinlogin for more details
Your OTP is 466713. Do not share it with anyone.,Transactional,your otp is 466713 do not share it with anyone
Don't miss out! Sale ends soon at https://cleartrip.com,Promotional,dont miss out sale ends soon at httpscleartripcom
Thanks for your purchase. View invoice: https://www.airtel.in/recharge,Transactional,thanks for your purchase view invoice httpswwwairtelinrecharge
Exclusive deals available here: https://amazon.in/sale,Promotional,exclusive deals available here httpsamazoninsale
Your package is waiting. Pay delivery fees at https://urgentupdate.co,Spam,your package is waiting pay delivery fees at httpsurgentupdateco
Reset your password now at https://confirm-payee.click,Spam,reset your password now at httpsconfirmpayeeclick
Check out our latest deals at https://www.officialstore.com,Promotional,check out our latest deals at httpswwwofficialstorecom
You're selected! Redeem your reward at https://secure-update.cards,Spam,youre selected redeem your reward at httpssecureupdatecards
Enjoy 30% off on all products. Shop now at https://merchant-site.com/receipt,Promotional,enjoy 30 off on all products shop now at httpsmerchantsitecomreceipt
Your package is waiting. Pay delivery fees at https://winfreecash.com,Spam,your package is waiting pay delivery fees at httpswinfreecashcom
"Login successful from new device. If not you, visit https://merchant-site.com/receipt",Transactional,login successful from new device if not you visit httpsmerchantsitecomreceipt
Limited time offer! Visit https://merchant-site.com/receipt to grab your discount,Promotional,limited time offer visit httpsmerchantsitecomreceipt to grab your discount
Upgrade your plan today: https://www.airtel.in/recharge,Promotional,upgrade your plan today httpswwwairtelinrecharge
Thanks for your purchase. View invoice: https://www.myntra.com,Transactional,thanks for your purchase view invoice httpswwwmyntracom
Don't miss out! Sale ends soon at https://bluedart.com/track,Promotional,dont miss out sale ends soon at httpsbluedartcomtrack
Your dream vacation awaits! Book at https://www.officialstore.com,Promotional,your dream vacation awaits book at httpswwwofficialstorecom
Earn money fast! Start today: https://confirm-payee.click,Spam,earn money fast start today httpsconfirmpayeeclick
Upgrade your plan today: https://secure.bankportal.in/login,Promotional,upgrade your plan today httpssecurebankportalinlogin
"Login successful from new device. If not you, visit https://flipkart.com/deals",Transactional,login successful from new device if not you visit httpsflipkartcomdeals
Limited time offer! Visit https://www.airtel.in/recharge to grab your discount,Promotional,limited time offer visit httpswwwairtelinrecharge to grab your discount
Urgent: Your account will be blocked. Verify at https://fakewebsite.com,Spam,urgent your account will be blocked verify at httpsfakewebsitecom
Your package with tracking ID 729401 has been shipped.,Transactional,your package with tracking id 729401 has been shipped
"Login successful from new device. If not you, visit https://amazon.in/sale",Transactional,login successful from new device if not you visit httpsamazoninsale
Confirm your payment details: https://netflix-support.com,Spam,confirm your payment details httpsnetflixsupportcom
Don't miss out! Sale ends soon at https://www.airtel.in/recharge,Promotional,dont miss out sale ends soon at httpswwwairtelinrecharge
Exclusive deals available here: https://merchant-site.com/receipt,Promotional,exclusive deals available here httpsmerchantsitecomreceipt
Your package is waiting. Pay delivery fees at https://fakewebsite.com,Spam,your package is waiting pay delivery fees at httpsfakewebsitecom
Limited time offer! Visit https://amazon.in/sale to grab your discount,Promotional,limited time offer visit httpsamazoninsale to grab your discount
Click here to win an iPhone: https://verify-now.online,Spam,click here to win an iphone httpsverifynowonline
Upgrade your plan today: https://bluedart.com/track,Promotional,upgrade your plan today httpsbluedartcomtrack
Get free recharge. Click here: https://iphone14winner.com,Spam,get free recharge click here httpsiphone14winnercom
Final notice. Update your info: https://urgentupdate.co,Spam,final notice update your info httpsurgentupdateco
Reset your password now at https://winfreecash.com,Spam,reset your password now at httpswinfreecashcom
Earn money fast! Start today: https://fakewebsite.com,Spam,earn money fast start today httpsfakewebsitecom
Invoice for your order is available here: https://www.officialstore.com,Transactional,invoice for your order is available here httpswwwofficialstorecom
You've won a prize! Claim now: https://iphone14winner.com,Spam,youve won a prize claim now httpsiphone14winnercom
Your package is waiting. Pay delivery fees at https://get-rich-fast.biz,Spam,your package is waiting pay delivery fees at httpsgetrichfastbiz
You're selected! Redeem your reward at https://verify-now.online,Spam,youre selected redeem your reward at httpsverifynowonline
Thanks for your purchase. View invoice: https://merchant-site.com/receipt,Transactional,thanks for your purchase view invoice httpsmerchantsitecomreceipt
"Login successful from new device. If not you, visit https://www.airtel.in/recharge",Transactional,login successful from new device if not you visit httpswwwairtelinrecharge
Your OTP is 629828. Do not share it with anyone.,Transactional,your otp is 629828 do not share it with anyone
Find your perfect gift at https://bluedart.com/track,Promotional,find your perfect gift at httpsbluedartcomtrack
Get free recharge. Click here: https://get-rich-fast.biz,Spam,get free recharge click here httpsgetrichfastbiz
Urgent: Your account will be blocked. Verify at https://iphone14winner.com,Spam,urgent your account will be blocked verify at httpsiphone14winnercom
Your transaction ID is TXN722885. Please keep it for your records.,Transactional,your transaction id is txn722885 please keep it for your records
Upgrade your plan today: https://www.officialstore.com,Promotional,upgrade your plan today httpswwwofficialstorecom
Your booking is confirmed. View details: https://secure.bankportal.in/login,Transactional,your booking is confirmed view details httpssecurebankportalinlogin
Your dream vacation awaits! Book at https://www.myntra.com,Promotional,your dream vacation awaits book at httpswwwmyntracom
Don't miss out! Sale ends soon at https://merchant-site.com/receipt,Promotional,dont miss out sale ends soon at httpsmerchantsitecomreceipt
Your booking is confirmed. View details: https://bluedart.com/track,Transactional,your booking is confirmed view details httpsbluedartcomtrack
Limited time offer! Visit https://flipkart.com/deals to grab your discount,Promotional,limited time offer visit httpsflipkartcomdeals to grab your discount
Upgrade your plan today: https://amazon.in/sale,Promotional,upgrade your plan today httpsamazoninsale
Enjoy 30% off on all products. Shop now at https://bluedart.com/track,Promotional,enjoy 30 off on all products shop now at httpsbluedartcomtrack
Limited time offer! Visit https://cleartrip.com to grab your discount,Promotional,limited time offer visit httpscleartripcom to grab your discount
Get free recharge. Click here: https://winfreecash.com,Spam,get free recharge click here httpswinfreecashcom
Limited time offer! Visit https://trip.com to grab your discount,Promotional,limited time offer visit httpstripcom to grab your discount
Final notice. Update your info: https://secure-update.cards,Spam,final notice update your info httpssecureupdatecards
Earn money fast! Start today: https://urgentupdate.co,Spam,earn money fast start today httpsurgentupdateco
Enjoy 30% off on all products. Shop now at https://flipkart.com/deals,Promotional,enjoy 30 off on all products shop now at httpsflipkartcomdeals
Enjoy 30% off on all products. Shop now at https://secure.bankportal.in/login,Promotional,enjoy 30 off on all products shop now at httpssecurebankportalinlogin
Check out our latest deals at https://bluedart.com/track,Promotional,check out our latest deals at httpsbluedartcomtrack
Introducing our new range. Learn more: https://amazon.in/sale,Promotional,introducing our new range learn more httpsamazoninsale
Your dream vacation awaits! Book at https://flipkart.com/deals,Promotional,your dream vacation awaits book at httpsflipkartcomdeals
Earn money fast! Start today: https://winfreecash.com,Spam,earn money fast start today httpswinfreecashcom
Final notice. Update your info: https://winfreecash.com,Spam,final notice update your info httpswinfreecashcom
Your payment of ₹7600 was successful.,Transactional,your payment of 7600 was successful
Invoice for your order is available here: https://trip.com,Transactional,invoice for your order is available here httpstripcom
Get free recharge. Click here: https://fakewebsite.com,Spam,get free recharge click here httpsfakewebsitecom
Your dream vacation awaits! Book at https://www.airtel.in/recharge,Promotional,your dream vacation awaits book at httpswwwairtelinrecharge
Your dream vacation awaits! Book at https://merchant-site.com/receipt,Promotional,your dream vacation awaits book at httpsmerchantsitecomreceipt
Exclusive deals available here: https://cleartrip.com,Promotional,exclusive deals available here httpscleartripcom
Confirm your payment details: https://urgentupdate.co,Spam,confirm your payment details httpsurgentupdateco
Your dream vacation awaits! Book at https://bluedart.com/track,Promotional,your dream vacation awaits book at httpsbluedartcomtrack
Reset your password now at https://urgentupdate.co,Spam,reset your password now at httpsurgentupdateco
Track your shipment here: https://www.officialstore.com,Transactional,track your shipment here httpswwwofficialstorecom
Enjoy 30% off on all products. Shop now at https://www.airtel.in/recharge,Promotional,enjoy 30 off on all products shop now at httpswwwairtelinrecharge
Your OTP is 735700. Do not share it with anyone.,Transactional,your otp is 735700 do not share it with anyone
Introducing our new range. Learn more: https://merchant-site.com/receipt,Promotional,introducing our new range learn more httpsmerchantsitecomreceipt
"Login successful from new device. If not you, visit https://bluedart.com/track",Transactional,login successful from new device if not you visit httpsbluedartcomtrack
Check out our latest deals at https://trip.com,Promotional,check out our latest deals at httpstripcom
Enjoy 30% off on all products. Shop now at https://www.myntra.com,Promotional,enjoy 30 off on all products shop now at httpswwwmyntracom
You've won a prize! Claim now: https://secure-update.cards,Spam,youve won a prize claim now httpssecureupdatecards
Your OTP is 133230. Do not share it with anyone.,Transactional,your otp is 133230 do not share it with anyone
Track your shipment here: https://secure.bankportal.in/login,Transactional,track your shipment here httpssecurebankportalinlogin
Your package is waiting. Pay delivery fees at https://secure-update.cards,Spam,your package is waiting pay delivery fees at httpssecureupdatecards
Exclusive deals available here: https://www.myntra.com,Promotional,exclusive deals available here httpswwwmyntracom
Don't miss out! Sale ends soon at https://flipkart.com/deals,Promotional,dont miss out sale ends soon at httpsflipkartcomdeals
Your payment of ₹7300 was successful.,Transactional,your payment of 7300 was successful
Click here to win an iPhone: https://urgentupdate.co,Spam,click here to win an iphone httpsurgentupdateco
Visit our store: https://www.myntra.com for more details,Promotional,visit our store httpswwwmyntracom for more details
Visit our store: https://cleartrip.com for more details,Promotional,visit our store httpscleartripcom for more details
Your transaction ID is TXN634934. Please keep it for your records.,Transactional,your transaction id is txn634934 please keep it for your records
Invoice for your order is available here: https://bluedart.com/track,Transactional,invoice for your order is available here httpsbluedartcomtrack
Your package with tracking ID 323000 has been shipped.,Transactional,your package with tracking id 323000 has been shipped
Exclusive deals available here: https://bluedart.com/track,Promotional,exclusive deals available here httpsbluedartcomtrack
Upgrade your plan today: https://trip.com,Promotional,upgrade your plan today httpstripcom
Your dream vacation awaits! Book at https://secure.bankportal.in/login,Promotional,your dream vacation awaits book at httpssecurebankportalinlogin
Thanks for your purchase. View invoice: https://www.officialstore.com,Transactional,thanks for your purchase view invoice httpswwwofficialstorecom
Get free recharge. Click here: https://urgentupdate.co,Spam,get free recharge click here httpsurgentupdateco
Introducing our new range. Learn more: https://www.airtel.in/recharge,Promotional,introducing our new range learn more httpswwwairtelinrecharge
"Login successful from new device. If not you, visit https://cleartrip.com",Transactional,login successful from new device if not you visit httpscleartripcom
Earn money fast! Start today: https://secure-update.cards,Spam,earn money fast start today httpssecureupdatecards
Check out our latest deals at https://www.myntra.com,Promotional,check out our latest deals at httpswwwmyntracom
Your transaction ID is TXN762140. Please keep it for your records.,Transactional,your transaction id is txn762140 please keep it for your records
Urgent: Your account will be blocked. Verify at https://netflix-support.com,Spam,urgent your account will be blocked verify at httpsnetflixsupportcom
Find your perfect gift at https://trip.com,Promotional,find your perfect gift at httpstripcom
Your payment of ₹4443 was successful.,Transactional,your payment of 4443 was successful
You've won a prize! Claim now: https://fakewebsite.com,Spam,youve won a prize claim now httpsfakewebsitecom
Get free recharge. Click here: https://confirm-payee.click,Spam,get free recharge click here httpsconfirmpayeeclick
Your package is waiting. Pay delivery fees at https://iphone14winner.com,Spam,your package is waiting pay delivery fees at httpsiphone14winnercom
Your package with tracking ID 117042 has been shipped.,Transactional,your package with tracking id 117042 has been shipped
Your payment of ₹4473 was successful.,Transactional,your payment of 4473 was successful
Click here to win an iPhone: https://winfreecash.com,Spam,click here to win an iphone httpswinfreecashcom
Invoice for your order is available here: https://www.airtel.in/recharge,Transactional,invoice for your order is available here httpswwwairtelinrecharge
Introducing our new range. Learn more: https://cleartrip.com,Promotional,introducing our new range learn more httpscleartripcom
Your payment of ₹4231 was successful.,Transactional,your payment of 4231 was successful
Your package with tracking ID 405400 has been shipped.,Transactional,your package with tracking id 405400 has been shipped
Check out our latest deals at https://flipkart.com/deals,Promotional,check out our latest deals at httpsflipkartcomdeals
Your package with tracking ID 914904 has been shipped.,Transactional,your package with tracking id 914904 has been shipped
You're selected! Redeem your reward at https://winfreecash.com,Spam,youre selected redeem your reward at httpswinfreecashcom
Thanks for your purchase. View invoice: https://flipkart.com/deals,Transactional,thanks for your purchase view invoice httpsflipkartcomdeals
Reset your password now at https://login-now-security.xyz,Spam,reset your password now at httpsloginnowsecurityxyz
Track your shipment here: https://trip.com,Transactional,track your shipment here httpstripcom
Invoice for your order is available here: https://www.myntra.com,Transactional,invoice for your order is available here httpswwwmyntracom
Visit our store: https://bluedart.com/track for more details,Promotional,visit our store httpsbluedartcomtrack for more details
Your payment of ₹4583 was successful.,Transactional,your payment of 4583 was successful
Exclusive deals available here: https://www.airtel.in/recharge,Promotional,exclusive deals available here httpswwwairtelinrecharge
Track your shipment here: https://www.airtel.in/recharge,Transactional,track your shipment here httpswwwairtelinrecharge
You've won a prize! Claim now: https://verify-now.online,Spam,youve won a prize claim now httpsverifynowonline
Don't miss out! Sale ends soon at https://amazon.in/sale,Promotional,dont miss out sale ends soon at httpsamazoninsale
Final notice. Update your info: https://fakewebsite.com,Spam,final notice update your info httpsfakewebsitecom
Confirm your payment details: https://verify-now.online,Spam,confirm your payment details httpsverifynowonline
Click here to win an iPhone: https://get-rich-fast.biz,Spam,click here to win an iphone httpsgetrichfastbiz
Find your perfect gift at https://merchant-site.com/receipt,Promotional,find your perfect gift at httpsmerchantsitecomreceipt
You're selected! Redeem your reward at https://get-rich-fast.biz,Spam,youre selected redeem your reward at httpsgetrichfastbiz
Your OTP is 900413. Do not share it with anyone.,Transactional,your otp is 900413 do not share it with anyone
Your package with tracking ID 311481 has been shipped.,Transactional,your package with tracking id 311481 has been shipped
You've won a prize! Claim now: https://netflix-support.com,Spam,youve won a prize claim now httpsnetflixsupportcom
Visit our store: https://www.airtel.in/recharge for more details,Promotional,visit our store httpswwwairtelinrecharge for more details
Introducing our new range. Learn more: https://flipkart.com/deals,Promotional,introducing our new range learn more httpsflipkartcomdeals
Your booking is confirmed. View details: https://flipkart.com/deals,Transactional,your booking is confirmed view details httpsflipkartcomdeals
Get free recharge. Click here: https://secure-update.cards,Spam,get free recharge click here httpssecureupdatecards
Confirm your payment details: https://fakewebsite.com,Spam,confirm your payment details httpsfakewebsitecom
Click here to win an iPhone: https://secure-update.cards,Spam,click here to win an iphone httpssecureupdatecards
You've won a prize! Claim now: https://login-now-security.xyz,Spam,youve won a prize claim now httpsloginnowsecurityxyz
You're selected! Redeem your reward at https://confirm-payee.click,Spam,youre selected redeem your reward at httpsconfirmpayeeclick
Exclusive deals available here: https://flipkart.com/deals,Promotional,exclusive deals available here httpsflipkartcomdeals
Track your shipment here: https://flipkart.com/deals,Transactional,track your shipment here httpsflipkartcomdeals
Your transaction ID is TXN339858. Please keep it for your records.,Transactional,your transaction id is txn339858 please keep it for your records
Your transaction ID is TXN746598. Please keep it for your records.,Transactional,your transaction id is txn746598 please keep it for your records
Your package with tracking ID 438654 has been shipped.,Transactional,your package with tracking id 438654 has been shipped
Check out our latest deals at https://cleartrip.com,Promotional,check out our latest deals at httpscleartripcom
Find your perfect gift at https://amazon.in/sale,Promotional,find your perfect gift at httpsamazoninsale
Limited time offer! Visit https://www.myntra.com to grab your discount,Promotional,limited time offer visit httpswwwmyntracom to grab your discount
Your payment of ₹8928 was successful.,Transactional,your payment of 8928 was successful
Your OTP is 774720. Do not share it with anyone.,Transactional,your otp is 774720 do not share it with anyone
You've won a prize! Claim now: https://get-rich-fast.biz,Spam,youve won a prize claim now httpsgetrichfastbiz
Your OTP is 428323. Do not share it with anyone.,Transactional,your otp is 428323 do not share it with anyone
Urgent: Your account will be blocked. Verify at https://winfreecash.com,Spam,urgent your account will be blocked verify at httpswinfreecashcom
Your package with tracking ID 943283 has been shipped.,Transactional,your package with tracking id 943283 has been shipped
Get free recharge. Click here: https://verify-now.online,Spam,get free recharge click here httpsverifynowonline
Your transaction ID is TXN848977. Please keep it for your records.,Transactional,your transaction id is txn848977 please keep it for your records
Your booking is confirmed. View details: https://cleartrip.com,Transactional,your booking is confirmed view details httpscleartripcom
Your booking is confirmed. View details: https://trip.com,Transactional,your booking is confirmed view details httpstripcom
You've won a prize! Claim now: https://urgentupdate.co,Spam,youve won a prize claim now httpsurgentupdateco
Your payment of ₹1271 was successful.,Transactional,your payment of 1271 was successful
Your OTP is 730664. Do not share it with anyone.,Transactional,your otp is 730664 do not share it with anyone
Confirm your payment details: https://confirm-payee.click,Spam,confirm your payment details httpsconfirmpayeeclick
Your transaction ID is TXN274612. Please keep it for your records.,Transactional,your transaction id is txn274612 please keep it for your records
Your package with tracking ID 478703 has been shipped.,Transactional,your package with tracking id 478703 has been shipped
Exclusive deals available here: https://secure.bankportal.in/login,Promotional,exclusive deals available here httpssecurebankportalinlogin
Exclusive deals available here: https://trip.com,Promotional,exclusive deals available here httpstripcom
Your OTP is 324483. Do not share it with anyone.,Transactional,your otp is 324483 do not share it with anyone
Upgrade your plan today: https://flipkart.com/deals,Promotional,upgrade your plan today httpsflipkartcomdeals
Your transaction ID is TXN357624. Please keep it for your records.,Transactional,your transaction id is txn357624 please keep it for your records
Your payment of ₹4309 was successful.,Transactional,your payment of 4309 was successful
Your package with tracking ID 436444 has been shipped.,Transactional,your package with tracking id 436444 has been shipped
Your payment of ₹5967 was successful.,Transactional,your payment of 5967 was successful
Your package with tracking ID 872443 has been shipped.,Transactional,your package with tracking id 872443 has been shipped
Your OTP is 954056. Do not share it with anyone.,Transactional,your otp is 954056 do not share it with anyone
Final notice. Update your info: https://get-rich-fast.biz,Spam,final notice update your info httpsgetrichfastbiz
Your transaction ID is TXN648558. Please keep it for your records.,Transactional,your transaction id is txn648558 please keep it for your records
Your OTP is 338956. Do not share it with anyone.,Transactional,your otp is 338956 do not share it with anyone
Your payment of ₹363 was successful.,Transactional,your payment of 363 was successful
You're selected! Redeem your reward at https://iphone14winner.com,Spam,youre selected redeem your reward at httpsiphone14winnercom
Introducing our new range. Learn more: https://secure.bankportal.in/login,Promotional,introducing our new range learn more httpssecurebankportalinlogin
Your package with tracking ID 608410 has been shipped.,Transactional,your package with tracking id 608410 has been shipped
Your payment of ₹8761 was successful.,Transactional,your payment of 8761 was successful
Your transaction ID is TXN935324. Please keep it for your records.,Transactional,your transaction id is txn935324 please keep it for your records
Your OTP is 826849. Do not share it with anyone.,Transactional,your otp is 826849 do not share it with anyone
Your OTP is 610302. Do not share it with anyone.,Transactional,your otp is 610302 do not share it with anyone
Your package with tracking ID 513753 has been shipped.,Transactional,your package with tracking id 513753 has been shipped
Earn money fast! Start today: https://iphone14winner.com,Spam,earn money fast start today httpsiphone14winnercom
Find your perfect gift at https://www.airtel.in/recharge,Promotional,find your perfect gift at httpswwwairtelinrecharge
Thanks for your purchase. View invoice: https://bluedart.com/track,Transactional,thanks for your purchase view invoice httpsbluedartcomtrack
